provincia,año,temp_mean,temp_max,temp_min,precipitacion,lluvia,horas_sol,viento_max,evapotranspiracion,rend_Cebada,rend_Grano se soja,rend_Maíz,rend_Semilla de girasol,rend_Sorgo,rend_Trigo
Entre_Rios,2024,18.960035368306013,24.037841530054646,14.311612021857924,1226.80001307,1226.80001307,12314644.542844,18.740947415300546,1361.68431369,1296636.0,16371093.0,8736712.0,1842731.0,626182.0,6341303.0
La_Pampa,2010,16.40142471863014,22.321424735342468,11.012931656493151,520.1999994399999,520.1999994399999,13794477.96436,19.734963329041097,1600.59384,746435.0,18130800.0,2904035.0,1495317.0,755235.0,4531520.0
La_Pampa,2011,16.30614521589041,22.13676726136986,11.020054962369862,604.39999578,601.69999578,13706468.5589,19.555326484931506,1584.02090008,1121278.0,18764850.0,3747838.0,1743040.0,1012617.0,4496078.0
La_Pampa,2012,16.411550944262295,21.981114864480872,11.400104047486339,762.30000708,761.9000069800001,13393732.8167,18.915617512295082,1504.44723529,1694545.0,17577320.0,3696300.0,1823412.0,913815.0,3018403.0
La_Pampa,2013,16.841322148767123,22.809506906027398,11.413205655799999,460.90001143,433.40000843,13643990.30386,19.620312182465753,1624.15761532,1203306.0,19418824.0,4863801.0,1620081.0,889993.0,3451785.0
La_Pampa,2014,16.557475021643835,22.186356293150684,11.446630353684933,614.70000405,614.00000435,13038312.22723,19.620703239726026,1527.79738569,888873.0,19252552.0,4836655.0,1261640.0,787657.0,4957300.0
La_Pampa,2015,16.41335977369863,21.88306861369863,11.559096068164385,700.09999778,700.09999778,13050924.56978,18.40969201780822,1426.2864833,888873.0,19352115.0,4626880.0,1439915.0,658576.0,3953102.0
La_Pampa,2016,15.806695009562842,20.96485809672131,11.15743187928142,792.10000554,792.10000554,12447501.0199955,18.312288197540983,1382.32744069,1246891.0,19504648.0,5346593.0,1413963.0,673550.0,5566385.0
La_Pampa,2017,15.788944111068494,21.43178082191781,10.821917808219178,697.0000020900001,696.90000209,12963561.131616,20.67713047671233,1445.97977259,870213.0,17335102.0,6530673.0,1819045.0,541955.0,5822173.0
La_Pampa,2018,15.859189502602739,21.67356164383562,10.59054794520548,522.89999607,521.69999507,12690755.458882,20.2341556,1499.94866177,1209995.0,16318060.0,7138620.0,1678031.0,437463.0,6050953.0
La_Pampa,2019,15.701483975342464,21.778767123287672,10.235890410958904,383.49999816999997,382.49999816999997,13254355.026325,20.352386217808217,1546.88153444,1121449.0,16575887.0,7232761.0,1875938.0,342623.0,6729838.0
La_Pampa,2020,15.620121803551912,21.560382513661203,10.35,465.89999894,465.89999894,13412927.83465,20.637013192622952,1526.24187834,1078835.0,16710793.0,7730506.0,1381571.0,395204.0,6394102.0
La_Pampa,2021,15.573875551780821,21.546849315068496,10.336164383561643,699.2999939,699.0999939,13250788.12345,19.155666689041098,1418.88393429,1006503.0,16466714.0,8146596.0,1628002.0,748566.0,6548477.0
La_Pampa,2022,15.54912668849315,21.7572602739726,10.09013698630137,511.79999562,510.09999462,13259936.85371,20.26186592191781,1580.18713084,1335623.0,15874266.0,8768441.0,1958686.0,699887.0,5488728.0
La_Pampa,2023,15.96692923589041,21.901095890410957,10.663972602739726,486.10000524,485.40000528,12781488.73325,20.369649580821918,1506.19264756,1589966.0,14356922.0,8104641.0,2453245.0,500421.0,5575352.0
La_Pampa,2024,15.76841413251366,21.63428961748634,10.503142076502732,551.09999714,550.6999971500001,13123400.6759,20.986866919398906,1540.72463238,1296636.0,16371093.0,8736712.0,1842731.0,626182.0,6341303.0
Mendoza,2010,17.97530042158904,24.62686991013699,11.63084229749589,364.40000183,355.10000343,14384047.9668,21.2059684,1811.12939843,746435.0,18130800.0,2904035.0,1495317.0,755235.0,4531520.0
Mendoza,2011,17.99439853808219,24.718102739726028,11.535362854465754,312.50000149,305.40000249,14576079.66973,21.095003060821917,1816.45050894,1121278.0,18764850.0,3747838.0,1743040.0,1012617.0,4496078.0
Mendoza,2012,18.798215533333334,25.536073838797815,12.319270306010928,280.6000033,280.6000033,14297073.058220001,21.74092120491803,1834.81509412,1694545.0,17577320.0,3696300.0,1823412.0,913815.0,3018403.0
Mendoza,2013,18.85778330969863,25.822212472876714,12.046732711369861,205.10000094,205.10000094,14535791.67416,21.110167126849316,1896.88589117,1203306.0,19418824.0,4863801.0,1620081.0,889993.0,3451785.0
Mendoza,2014,18.366613249863015,24.830020578082195,12.140568369616439,438.89999495,438.89999495,14054866.3541,21.11770027890411,1765.12591714,888873.0,19252552.0,4836655.0,1261640.0,787657.0,4957300.0
Mendoza,2015,17.907840310136987,24.162486242739725,12.126047766410958,581.99999988,581.99999988,13592496.62956,20.835979826849314,1582.96456366,888873.0,19352115.0,4626880.0,1439915.0,658576.0,3953102.0
Mendoza,2016,17.527303850273224,23.613122912021858,11.936620055278688,604.50001582,600.30001682,13262596.12296,20.26493781420765,1599.90781087,1246891.0,19504648.0,5346593.0,1413963.0,673550.0,5566385.0
Mendoza,2017,17.774817351232876,24.09205479452055,11.821917808219178,284.10000323,283.60000323,13599446.5016,22.41661739589041,1724.50644495,870213.0,17335102.0,6530673.0,1819045.0,541955.0,5822173.0
Mendoza,2018,17.548527452328766,24.030958904109585,11.43041095890411,252.10000005,251.90000005,13909980.6997,22.27549466712329,1736.56670214,1209995.0,16318060.0,7138620.0,1678031.0,437463.0,6050953.0
Mendoza,2019,17.46304226438356,23.919726027397264,11.21945205479452,265.70000545,265.50000546,13852999.02727,22.085282046575344,1714.19067541,1121449.0,16575887.0,7232761.0,1875938.0,342623.0,6729838.0
Mendoza,2020,18.043380062568307,24.758333333333333,11.57827868852459,154.90000174,154.90000174,14407158.758172,22.864127915300546,1874.66038475,1078835.0,16710793.0,7730506.0,1381571.0,395204.0,6394102.0
Mendoza,2021,17.17571923380822,23.767123287671232,10.877534246575342,343.39999768,342.899997674,13987112.38212,21.761113510958904,1676.94268214,1006503.0,16466714.0,8146596.0,1628002.0,748566.0,6548477.0
Mendoza,2022,17.612836743835615,24.505753424657534,10.956575342465754,194.7000012,194.50000119999999,14117020.5721,22.766642680821917,1856.6887656,1335623.0,15874266.0,8768441.0,1958686.0,699887.0,5488728.0
Mendoza,2023,18.50382422,25.224794520547942,12.103561643835617,160.2000025,160.2000025,13821655.5297,23.026179405479454,1823.01255473,1589966.0,14356922.0,8104641.0,2453245.0,500421.0,5575352.0
Mendoza,2024,18.0167405136612,24.66653005464481,11.748907103825138,233.70000198,233.70000198,13848646.93582,23.417179886612022,1834.38583031,1296636.0,16371093.0,8736712.0,1842731.0,626182.0,6341303.0
Salta,2010,21.183977705479453,26.83821263561644,16.108349563835617,596.59999722,596.59999722,12366890.4291175,14.10047756109589,1462.88918798,746435.0,18130800.0,2904035.0,1495317.0,755235.0,4531520.0
Salta,2011,21.347202811506847,26.943007260273973,16.46355505479452,769.99999464,769.99999464,12182001.32818,13.950847333150685,1451.26767968,1121278.0,18764850.0,3747838.0,1743040.0,1012617.0,4496078.0
Salta,2012,22.391981278688522,27.98215599180328,17.478057645628414,606.79999439,606.79999439,12630456.99554,14.501127036338797,1530.80559751,1694545.0,17577320.0,3696300.0,1823412.0,913815.0,3018403.0
Salta,2013,22.66014211369863,28.672185134246575,17.2228701430137,421.00000048,421.00000048,12958835.79796,14.101958209041097,1655.38953427,1203306.0,19418824.0,4863801.0,1620081.0,889993.0,3451785.0
Salta,2014,22.09590715479452,27.595061978082192,17.345198966027397,629.49999913,629.49999913,11958372.34635,14.447682887945206,1457.75650397,888873.0,19252552.0,4836655.0,1261640.0,787657.0,4957300.0
Salta,2015,21.93890383287671,27.082870265753424,17.567116785753424,781.09999926,781.09999926,11621567.00761,13.813356629315068,1357.06902366,888873.0,19352115.0,4626880.0,1439915.0,658576.0,3953102.0
Salta,2016,21.126844204918033,26.576554918032787,16.338576730601094,845.5000021,845.5000021,11899938.297692,13.584940517213116,1423.50360967,1246891.0,19504648.0,5346593.0,1413963.0,673550.0,5566385.0
Salta,2017,21.912380108767124,27.25904109589041,17.394520547945206,1180.69998343,1180.69998343,11513244.621447999,16.813125865479453,1473.54795496,870213.0,17335102.0,6530673.0,1819045.0,541955.0,5822173.0
Salta,2018,21.069937289041096,26.464657534246577,16.406712328767124,1340.19997638,1340.19997638,11922717.604112,16.378038475068493,1396.85896944,1209995.0,16318060.0,7138620.0,1678031.0,437463.0,6050953.0
Salta,2019,21.409554738356164,26.97027397260274,16.55780821917808,996.5000054,996.5000054,12415146.245695,16.884357324657532,1520.6192214,1121449.0,16575887.0,7232761.0,1875938.0,342623.0,6729838.0
Salta,2020,22.542850823770493,28.815983606557378,17.006147540983605,842.20000994,842.20000994,13421124.9833,17.293602708469944,1757.1631096,1078835.0,16710793.0,7730506.0,1381571.0,395204.0,6394102.0
Salta,2021,21.771187119726026,27.737397260273973,16.531232876712327,754.0000114000001,754.0000114000001,13123081.69197,16.042466934520547,1619.9980696,1006503.0,16466714.0,8146596.0,1628002.0,748566.0,6548477.0
Salta,2022,22.137020719178082,28.713972602739727,16.289315068493153,596.80000578,596.80000578,13237180.8711,17.08079031479452,1781.8223047,1335623.0,15874266.0,8768441.0,1958686.0,699887.0,5488728.0
Salta,2023,23.114497828767124,28.947123287671236,17.957123287671234,905.50001093,905.50001093,12698671.50667,16.795292661643835,1659.47108094,1589966.0,14356922.0,8104641.0,2453245.0,500421.0,5575352.0
Salta,2024,22.31100874453552,27.95068306010929,17.410655737704918,798.30000064,798.30000064,12720591.9245,17.258436808196723,1607.7651769,1296636.0,16371093.0,8736712.0,1842731.0,626182.0,6341303.0
Santa_Fe,2010,18.816110149041098,23.884397520547946,14.043027392027398,1044.69999849,1044.69999849,12941241.891102,16.948539053424657,1400.93012691,746435.0,18130800.0,2904035.0,1495317.0,755235.0,4531520.0
Santa_Fe,2011,19.01447203232877,24.107822178082195,14.163438384528767,919.90000819,919.90000819,13360495.04868,16.852968452602738,1447.84178854,1121278.0,18764850.0,3747838.0,1743040.0,1012617.0,4496078.0
Santa_Fe,2012,19.9110468784153,25.10825717486339,15.169049271311476,1241.20000334,1241.20000334,12865374.04883,17.603908187431696,1472.00366689,1694545.0,17577320.0,3696300.0,1823412.0,913815.0,3018403.0
Santa_Fe,2013,19.667999639726027,25.06467155616438,14.683301378082191,970.6999746,970.6999746,13363402.54443,17.301800463561644,1547.8970485,1203306.0,19418824.0,4863801.0,1620081.0,889993.0,3451785.0
Santa_Fe,2014,19.550413890958904,24.489055202739728,15.00658909041096,1287.69999868,1287.69999868,12676089.40861,17.478113935068492,1374.2794507,888873.0,19252552.0,4836655.0,1261640.0,787657.0,4957300.0
Santa_Fe,2015,19.849745953150684,24.758918142465756,15.388780888767123,1098.69999882,1098.69999882,12824173.496509999,16.8290922569863,1377.06428012,888873.0,19352115.0,4626880.0,1439915.0,658576.0,3953102.0
