provincia,año,temp_mean,temp_max,temp_min,precipitacion,lluvia,horas_sol,viento_max,evapotranspiracion,provincia_norm,provincia_est,rend_Cebada,rend_Girasol,rend_Maíz,rend_Soja,rend_Sorgo,rend_Trigo
Buenos_Aires,2020,15.32214420874317,20.778046487431695,10.140614622049181,625.00000736,625.00000736,13071186.70339,20.219763542349728,1343.6650732,BUENOS AIRES,BUENOS AIRES,4241.0,2093.0,7449.0,2492.6666666666665,5251.0,3885.0
Buenos_Aires,2021,15.375594064931507,20.799075347945205,10.379760163297535,927.40001708,927.40001708,12742671.78754,19.242040820547945,1254.39885578,BUENOS AIRES,BUENOS AIRES,4116.0,2044.0,7082.0,2664.6666666666665,4995.0,3374.5
Buenos_Aires,2022,14.943042841369863,20.802499974246576,9.612499899182467,774.39998994,774.39998994,12957344.44793,19.30543131369863,1332.81245441,BUENOS AIRES,BUENOS AIRES,3025.0,2304.0,5477.0,1868.6666666666667,3952.0,2476.5
Buenos_Aires,2023,15.653248250958903,21.108801304657536,10.607020449791781,981.40001318,981.40001318,12429115.3699,19.343872979452055,1311.85996299,BUENOS AIRES,BUENOS AIRES,4064.0,2245.0,7384.0,2807.6666666666665,5147.0,2968.5
Buenos_Aires,2024,15.370596031010928,20.796625743169397,10.318210296284153,998.00000109,998.00000109,12900958.7793,18.925000767213113,1281.54661963,BUENOS AIRES,BUENOS AIRES,3819.0,2385.0,7162.0,2823.0,4611.0,3266.0
Chaco,2010,21.120372047123286,25.70956153780822,16.914356196438355,1378.09999678,1378.09999678,12613046.19639,17.343661600273972,1422.1939514,CHACO,CHACO,,2033.0,4227.0,2366.6666666666665,3168.0,2028.0
Chaco,2011,21.545720172328767,26.330520320547947,17.270246599178083,1243.70003339,1243.70003339,12505710.99839,16.929316347945203,1443.31354282,CHACO,CHACO,,1865.0,2960.0,764.3333333333334,2523.0,1465.0
Chaco,2012,22.96340521721312,28.066655424863388,18.401765046721312,1054.70001513,1054.70001513,13099621.371235,18.167059452185793,1656.16059545,CHACO,CHACO,,1495.0,2370.0,1308.0,2271.0,1046.0
Chaco,2013,21.59199873342466,26.470794253424657,17.156410997342466,1176.10000744,1176.10000744,12732198.68841,17.529122319452057,1520.82283931,CHACO,CHACO,,1040.0,5571.0,2411.0,4384.0,551.0
Chaco,2014,22.297066860273972,26.831342310958902,18.296547970136984,1595.99999824,1595.99999824,12093776.97456,17.97988183589041,1440.15558937,CHACO,CHACO,,1836.0,5331.0,2053.6666666666665,3428.0,1087.0
